date,yearmonth,ma_id,fishbase_id,length_cm,count,lmax
2022-04-10,2022-04-01,92.0,143.0,53.64570585144328,1,131.0
2022-04-30,2022-04-01,145.0,374.0,40.02859528745256,9,32.5
2022-03-15,2022-03-01,66.0,999999001.0,13.471569365748216,5,
2022-03-06,2022-03-01,61.0,5987.0,21.3064304256251,48,39.5
2022-03-09,2022-03-01,61.0,1863.0,26.909948894270727,25,21.60000038
2022-03-13,2022-03-01,,121.0,62.04277090622157,2,104.0
2022-05-29,2022-05-01,44.0,1895.0,51.54796747920326,1,62.71428571
2022-03-10,2022-03-01,142.0,109.0,21.508707276879885,15,21.75
2022-05-23,2022-05-01,142.0,1845.0,34.12251102986881,8,59.0
2022-05-06,2022-05-01,118.0,785.0,26.004075848508023,9,41.5
2022-05-17,2022-05-01,118.0,1845.0,58.61110056575575,9,59.0
2022-03-24,2022-03-01,6.0,387.0,17.532220653710095,100,29.0
2022-04-22,2022-04-01,28.0,1845.0,17.302056322381823,12,59.0
2022-04-17,2022-04-01,92.0,1906.0,55.922045158542495,1,69.0
2022-03-01,2022-03-01,67.0,384.0,44.385258185074754,7,53.20000076
2022-03-06,2022-03-01,72.0,4463.0,14.641572917640962,90,15.39999962
2022-03-13,2022-03-01,72.0,6479.0,25.453785337676717,17,34.20000076
2022-03-06,2022-03-01,74.0,4464.0,32.75809319105011,18,46.0
2022-04-08,2022-04-01,74.0,1406.0,36.67748809365534,8,44.2703702
2022-05-25,2022-05-01,74.0,6366.0,31.367883565379728,23,34.09999847
2022-05-30,2022-05-01,74.0,1406.0,35.054309390540055,9,44.2703702
2022-05-26,2022-05-01,74.0,4621.0,25.715990284094183,16,41.09999847
2022-04-12,2022-04-01,71.0,5847.0,28.741046771335157,260,23.52499994
2022-04-12,2022-04-01,71.0,6454.0,51.324310768408814,12,40.59999847
2022-03-09,2022-03-01,61.0,1863.0,33.852108235154944,9,21.60000038
2022-03-10,2022-03-01,61.0,111.0,45.92910793708613,15,25.0
2022-04-16,2022-04-01,61.0,1406.0,65.11672492778764,3,44.2703702
2022-04-16,2022-04-01,61.0,1847.0,36.44222108185284,15,39.00000017
2022-03-09,2022-03-01,142.0,109.0,19.34451375512583,42,21.75
2022-03-12,2022-03-01,142.0,109.0,20.307573856979058,432,21.75
2022-05-17,2022-05-01,142.0,9.0,40.413057243355134,1,36.79999924
2022-05-16,2022-05-01,118.0,1845.0,59.990034692340934,12,59.0
2022-05-25,2022-05-01,118.0,785.0,32.29592949876379,16,41.5
2022-03-08,2022-03-01,142.0,1055.0,26.650821728168125,50,19.5
2022-04-18,2022-04-01,142.0,109.0,21.92363879586723,40,21.75
2022-04-20,2022-04-01,142.0,1055.0,25.512268271782666,25,19.5
2022-03-27,2022-03-01,6.0,1893.0,12.823040419891107,150,30.0
2022-03-24,2022-03-01,6.0,1893.0,14.075116218791468,170,30.0
2022-03-15,2022-03-01,28.0,1893.0,11.653724059115723,10,30.0
2022-03-31,2022-03-01,117.0,4456.0,18.9830818674247,30,40.0
2022-04-30,2022-04-01,145.0,121.0,84.63086334586454,4,104.0
2022-03-25,2022-03-01,177.0,999999001.0,10.729738488632892,2,
2022-03-26,2022-03-01,177.0,999999001.0,10.150438570894172,2,
